P60866	P03372
Q9BWC9	P43364
Q9UHD9	P01282-2
Q9H3H3-3	Q9UL33-2
Q7Z3C6-3	P59022
Q96KN7	Q9NX63
Q14145	Q04206
G4XUV3	Q9HBE1-4
Q3BBV0	O60341
Q9UBX3-2	Q99750
Q49A26-4	P24071
Q9NSC5	O43516
Q93062	Q6NSM0
Q7Z6G3-2	Q9H788-2
P04637	Q9UHC7
P60410	Q96IQ9
P56524	Q5JR59
Q9Y2Q5	Q9HB90
Q7Z3Z0	P13647
O75385	Q9C0C7-3
Q7L775	Q9NZV7
Q99828	Q7RTT5
P63104	Q71U36
Q8TBB1	Q99081-3
Q96FJ2	Q8ND24
Q99697-2	Q9GZM7
Q8N8B7-2	Q9UBR4-2
Q03014	Q8IUB9
Q96BA8	O15400
Q15303	P78352
Q9BRK4	Q8NEC5
P43364	Q2M243
Q66GS9	Q8IUD2
Q8WYH8	Q9NS73-5
P07902	Q07912-2
Q9H6F0	Q6A162
Q7Z3I7	P50222
O76064	O75558
O14933	Q9BZR9
Q9BUJ2	O75400
Q8IVS8	P14373
Q9Y6A5	Q9GZM8
Q96BR9	P52744
P49754	Q9H9C1
Q9UJS0	P13073
Q5T7P2	Q6L8H2
Q9BYR5	O14633
Q9H2F3	Q12805
O75971-2	Q9GZM8
Q96S15	Q5T011
P20618	Q9BVG8
Q6P5X5	Q02363
Q5SQN1	P43360
Q9NR46	Q9NR46
Q08117-2	P09234
Q6UX06	Q9NQX7-3
P07910	O60812
A8MQ03	Q6NSM0
Q9BQY4	Q8WVV9
P02533	Q5XKE5
Q96NT3-2	P60410
P14373	Q92917
P50402	Q8NHQ1
P60410	Q9BYR2
O00488	Q9NRD5
P06748	Q9BZQ8
P47884	Q5J8X5
Q9NP66	Q9BWG6
Q9BYS1	P29972
P46779	O95273
Q96MA6	Q96NC0
Q9GZM8	Q3ZCT1
Q9NP98	Q75MW2-2
P06400	O43524
Q93062-3	Q3LI76
Q9NRL3	P63167
Q96M63	A0A0S2Z4Q4
Q8TD31-3	Q9BSW2
Q9UK41	Q9H257-2
P14136	Q9BWT7
P50750	O60583
Q96BR6	Q9UL42
Q8N3I7	Q6P597
Q5T619	Q6NUQ1
P25791	Q08117
Q9H6T3	Q9Y265
O43189	Q9BPX1
Q9H0I2	Q9UBR4-2
P49005	P12004
Q9H4L5	P62913-2
Q3B820	Q9Y2D8
Q5T7B8-2	A0A024R8L2
Q15654	Q5W5X9-3
Q8IUB5	Q6FHY5
Q99750	Q86UD0
Q5T7P2	P27918
Q5TA81	P0C7H8
A5PKU2	Q6FHY5
Q8WXS3-2	P41227
Q14919	Q01658
Q9UHD9	P54725
O14757	P61981
O60238	Q9BXN2
P42566	P42566
O15155	Q9GZY8-5
Q06455-2	G2XKQ0
Q96M91	Q15323
P60900	P25789
Q07627	Q7Z6R9
A8MQ03	Q08AG9
Q8NHW6	Q08AM6
Q9NZC7-5	Q7Z5V6-2
O76083-2	Q13049
Q9HC52	Q93009
Q9BYV2	Q01546
P29074	P46108
Q92834	Q68CZ1
P60410	Q9BQ66
Q13557	Q9Y3B7
P51151	Q9Y2I1
Q6P597	Q8IYX8-2
Q86V38	Q9NVF9
Q13503	O15481
P60410	O96014
P41182	O43257
Q9Y6N9-4	Q9Y5F1
Q9BZI7	O15234
Q8IX06	A1L1C6
Q8IUC2	A0A0C4DGF1
P26038	P19320
P23763	Q8N6L0
Q8IYA8	P25791
Q8NA54	Q9H2G9
O95231	P60410
O15409	Q96A04
Q7RTY0	O95273
P32242	Q9BYR5
P22694	P63167
Q9BWG6	Q86VP1
P19525	Q96P20
Q9UIS9	Q13111
P78317	P35711-4
P56524-2	Q06413
Q8TD06	Q9UMX0
P38398	O75330
Q8WWB3	O14964
Q9HAT0	Q96AX1
A8K5H9	Q04864
Q13609	A8MQ03
Q6NSX1	Q8IZU0
Q96EZ8	Q8TBK6
P54252-1	P51665
Q6NYC8	O75031
Q96RS6	P53618
Q15811	O00401
Q06278	Q06278
O15078	O95613
P03372	P60866
O60462-6	O60462-6
P61978	Q07666
Q8NC01	Q5QGZ9
P80188	Q969H8
Q66LE6	P62714
Q9C0C9	Q9UKG1
Q16512	O76014
O00560	Q59EK9-3
Q01546	Q5JR59-3
Q9BXY8	Q6PF18
Q96BA8	P60201-2
P62993	O60888
Q05066	P84022
O14964	Q13952-2
P10827	Q8TAP6
